setid,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AJxaI,100,293.15,1376.16,Singh and Gardas (2016),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",,,,,,
AJxaI,100,298.15,1371.59,Singh and Gardas (2016),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",,,,,,
AJxaI,100,303.15,1367.04,Singh and Gardas (2016),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",,,,,,
AJxaI,100,308.15,1362.51,Singh and Gardas (2016),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",,,,,,
AJxaI,100,313.15,1358,Singh and Gardas (2016),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",,,,,,
AJxaI,100,318.15,1353.5,Singh and Gardas (2016),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",,,,,,
AJxaI,100,323.15,1349.02,Singh and Gardas (2016),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",,,,,,
AJxaI,100,328.15,1344.56,Singh and Gardas (2016),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",,,,,,
AJxaI,100,333.15,1340.11,Singh and Gardas (2016),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",,,,,,
AJxaI,100,338.15,1335.68,Singh and Gardas (2016),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",,,,,,
AJxaI,100,343.15,1331.26,Singh and Gardas (2016),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",,,,,,
