setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
AcBwV,308.26,100,1103.45,Souckova et al. (2017),Density,Liquid,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
AcBwV,313.1,100,1100.71,Souckova et al. (2017),Density,Liquid,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
AcBwV,318.25,100,1097.5,Souckova et al. (2017),Density,Liquid,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
AcBwV,323.58,100,1094.84,Souckova et al. (2017),Density,Liquid,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
AcBwV,328.52,100,1091.95,Souckova et al. (2017),Density,Liquid,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
AcBwV,333.54,100,1089.17,Souckova et al. (2017),Density,Liquid,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
AcBwV,338.03,100,1086.64,Souckova et al. (2017),Density,Liquid,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
AcBwV,343.46,100,1083.12,Souckova et al. (2017),Density,Liquid,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
AcBwV,348.39,100,1080.73,Souckova et al. (2017),Density,Liquid,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
AcBwV,353.12,100,1078.37,Souckova et al. (2017),Density,Liquid,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
AcBwV,358.51,100,1075.69,Souckova et al. (2017),Density,Liquid,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
AcBwV,363.89,100,1071.76,Souckova et al. (2017),Density,Liquid,AAeuTF,CCCn1cc[n+](C)c1.[Cl-],1-methyl-3-propylimidazolium chloride,,,,,,
