setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BKfya,308.15,101.325,1679.4,Vieira et al. (2016),Density,Metastable liquid,ACbfsT,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium bis(nonafluorobutylsulfonyl)imide,,,,,,
BKfya,313.15,101.325,1673.6,Vieira et al. (2016),Density,Metastable liquid,ACbfsT,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium bis(nonafluorobutylsulfonyl)imide,,,,,,
BKfya,318.15,101.325,1667.6,Vieira et al. (2016),Density,Metastable liquid,ACbfsT,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium bis(nonafluorobutylsulfonyl)imide,,,,,,
BKfya,323.15,101.325,1661.6,Vieira et al. (2016),Density,Metastable liquid,ACbfsT,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium bis(nonafluorobutylsulfonyl)imide,,,,,,
BKfya,328.15,101.325,1655.9,Vieira et al. (2016),Density,Metastable liquid,ACbfsT,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium bis(nonafluorobutylsulfonyl)imide,,,,,,
BKfya,333.15,101.325,1650.1,Vieira et al. (2016),Density,Metastable liquid,ACbfsT,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium bis(nonafluorobutylsulfonyl)imide,,,,,,
BKfya,338.15,101.325,1644.4,Vieira et al. (2016),Density,Metastable liquid,ACbfsT,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium bis(nonafluorobutylsulfonyl)imide,,,,,,
BKfya,343.15,101.325,1638.8,Vieira et al. (2016),Density,Metastable liquid,ACbfsT,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium bis(nonafluorobutylsulfonyl)imide,,,,,,
BKfya,348.15,101.325,1633.1,Vieira et al. (2016),Density,Metastable liquid,ACbfsT,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium bis(nonafluorobutylsulfonyl)imide,,,,,,
BKfya,353.15,101.325,1627.2,Vieira et al. (2016),Density,Metastable liquid,ACbfsT,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,cholinium bis(nonafluorobutylsulfonyl)imide,,,,,,
