setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BaFCP,293.15,100,986.2,Ramkumar and Gardas (2019),Density,Liquid,AAvJjO,CCCCCCC(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium heptanoate",,,,,,
BaFCP,298.15,100,982.7,Ramkumar and Gardas (2019),Density,Liquid,AAvJjO,CCCCCCC(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium heptanoate",,,,,,
BaFCP,303.15,100,979.2,Ramkumar and Gardas (2019),Density,Liquid,AAvJjO,CCCCCCC(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium heptanoate",,,,,,
BaFCP,308.15,100,975.6,Ramkumar and Gardas (2019),Density,Liquid,AAvJjO,CCCCCCC(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium heptanoate",,,,,,
BaFCP,313.15,100,972.1,Ramkumar and Gardas (2019),Density,Liquid,AAvJjO,CCCCCCC(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium heptanoate",,,,,,
BaFCP,318.15,100,968.6,Ramkumar and Gardas (2019),Density,Liquid,AAvJjO,CCCCCCC(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium heptanoate",,,,,,
BaFCP,323.15,100,965,Ramkumar and Gardas (2019),Density,Liquid,AAvJjO,CCCCCCC(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium heptanoate",,,,,,
BaFCP,328.15,100,961.4,Ramkumar and Gardas (2019),Density,Liquid,AAvJjO,CCCCCCC(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium heptanoate",,,,,,
BaFCP,333.15,100,957.7,Ramkumar and Gardas (2019),Density,Liquid,AAvJjO,CCCCCCC(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium heptanoate",,,,,,
BaFCP,338.15,100,954.1,Ramkumar and Gardas (2019),Density,Liquid,AAvJjO,CCCCCCC(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium heptanoate",,,,,,
BaFCP,343.15,100,950.4,Ramkumar and Gardas (2019),Density,Liquid,AAvJjO,CCCCCCC(=O)[O-].CN(C)C(=[NH2+])N(C)C,"1,1,3,3-tetramethylguanidinium heptanoate",,,,,,
