setid,"Temperature, K",Mole fraction of ethanol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BpnJS,298.15,0,101,1252,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,298.15,0.0476,101,1245.3,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,298.15,0.1993,101,1220.8,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,298.15,0.2992,101,1201.2,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,298.15,0.5009,101,1147.2,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,298.15,0.6033,101,1109.2,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,298.15,0.7023,101,1062,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,298.15,0.8016,101,999.9,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,298.15,0.899,101,915.5,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,298.15,0.9476,101,860.1,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,298.15,1,101,785.5,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,313.15,0,101,1242.1,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,313.15,0.0476,101,1235.3,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,313.15,0.1993,101,1210.8,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,313.15,0.2992,101,1190.9,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,313.15,0.5009,101,1136.4,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,313.15,0.6033,101,1098.4,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,313.15,0.7023,101,1051,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,313.15,0.8016,101,988.1,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,313.15,0.899,101,903.3,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,313.15,0.9476,101,847.5,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,313.15,1,101,772,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,328.15,0,101,1232.3,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,328.15,0.0476,101,1225.3,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,328.15,0.1993,101,1200.7,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,328.15,0.2992,101,1180.7,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,328.15,0.5009,101,1125.9,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,328.15,0.6033,101,1087.7,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,328.15,0.7023,101,1039.9,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,328.15,0.8016,101,976.6,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,328.15,0.899,101,890.1,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,328.15,0.9476,101,834.1,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
BpnJS,328.15,1,101,758.6,Gonzalez et al. (2009a),Density,Liquid,AAIsrh,CCO,ethanol,AAssoQ,CCOS(=O)(=O)[O-].CC[n+]1ccccc1,1-ethylpyridinium ethyl sulfate,,,
