setid,Weight fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CIhtQ,0,288.15,101,1013.43,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0,293.15,101,1010.47,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0,298.15,101,1007.35,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0,303.15,101,1004.39,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0,308.15,101,1001.41,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0,313.15,101,998.43,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0,318.15,101,995.39,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0,323.15,101,992.4,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0,328.15,101,989.39,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.0085,288.15,101,1015.92,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.0085,293.15,101,1012.96,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.0085,298.15,101,1009.83,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.0085,303.15,101,1006.87,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.0085,308.15,101,1003.83,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.0085,313.15,101,1000.87,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.0085,318.15,101,997.84,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.0085,323.15,101,994.86,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.0085,328.15,101,991.82,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.011,288.15,101,1016.7,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.011,293.15,101,1013.7,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.011,298.15,101,1010.5,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.011,303.15,101,1007.6,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.011,308.15,101,1004.6,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.011,313.15,101,1001.6,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.011,318.15,101,998.6,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.011,323.15,101,995.5,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.011,328.15,101,992.5,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.014,288.15,101,1017.4,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.014,293.15,101,1014.4,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.014,298.15,101,1011.3,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.014,303.15,101,1008.3,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.014,308.15,101,1005.4,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.014,313.15,101,1002.4,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.014,318.15,101,999.4,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.014,323.15,101,996.4,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.014,328.15,101,993.4,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.016,288.15,101,1018.2,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.016,293.15,101,1015.1,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.016,298.15,101,1012.1,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.016,303.15,101,1009,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.016,308.15,101,1006,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.016,313.15,101,1003,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
CIhtQ,0.016,318.15,101,1000,Hong et al. (2013b),Density,Liquid,AADYJk,O,water,AAuLsy,CCC(=O)[O-].CCCCCC[n+]1ccn(C)c1,1-hexyl-3-methylimidazolium propanoate,,,
