setid,"Temperature, K",Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DEojj,298.15,0.2211,100,1396.6,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,303.15,0.2211,100,1391.7,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,308.15,0.2211,100,1386.8,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,313.15,0.2211,100,1382,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,318.15,0.2211,100,1377.2,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,323.15,0.2211,100,1372.4,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,328.15,0.2211,100,1367.7,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,333.15,0.2211,100,1363,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,338.15,0.2211,100,1358.1,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,343.15,0.2211,100,1353.4,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,348.15,0.2211,100,1348.7,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,353.15,0.2211,100,1344,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,358.15,0.2211,100,1339.2,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
DEojj,363.15,0.2211,100,1334.6,Martins et al. (2016),Density,Liquid,AADYJk,O,water,ABfRtt,CCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,,,
