setid,"Temperature, K","Pressure, kPa",Mole fraction of water,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DKUYy,288.15,101.325,0.435,1107.2,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,293.15,101.325,0.435,1104,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,298.15,101.325,0.435,1100.8,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,303.15,101.325,0.435,1097.7,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,308.15,101.325,0.435,1094.5,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,313.15,101.325,0.435,1091.4,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,318.15,101.325,0.435,1088.3,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,323.15,101.325,0.435,1085.2,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,328.15,101.325,0.435,1082.1,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,333.15,101.325,0.435,1079,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,338.15,101.325,0.435,1075.9,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,343.15,101.325,0.435,1072.8,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,348.15,101.325,0.435,1069.7,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,353.15,101.325,0.435,1066.6,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,358.15,101.325,0.435,1063.5,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,363.15,101.325,0.435,1060.5,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,368.15,101.325,0.435,1057.4,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
DKUYy,373.15,101.325,0.435,1054.4,Parajo et al. (2023),Density,Liquid,AADYJk,O,water,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
