setid,Weight fraction of 1-methyl-3-octylimidazolium bromide,Weight fraction of sodium nitrate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DRUuu,0,0.4718,101,298.15,1392.2,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide
DRUuu,0.0511,0.3876,101,298.15,1372.3,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide
DRUuu,0.1125,0.326,101,298.15,1352.2,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide
DRUuu,0.1889,0.2454,101,298.15,1331,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide
DRUuu,0.2725,0.1834,101,298.15,1308.21,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide
DRUuu,0.359,0.1394,101,298.15,1284.02,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide
DRUuu,0.4433,0.1144,101,298.15,1259.31,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide
DRUuu,0.5306,0.0915,101,298.15,1233.73,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide
DRUuu,0.6142,0.0797,101,298.15,1209.1,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide
DRUuu,0.7094,0.0552,101,298.15,1188.23,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide
DRUuu,0.8026,0.038,101,298.15,1173.21,Li et al. (2016d),Density,Liquid,AAQRpw,O=[N+]([O-])[O-].[Na+],sodium nitrate,AADYJk,O,water,ABAwEw,CCCCCCCCn1cc[n+](C)c1.[Br-],1-methyl-3-octylimidazolium bromide
