setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium L-leucinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DWLyv,293.15,0,100,998.206,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.03697,100,999.215,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.05641,100,999.729,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.07287,100,1000.17,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.09146,100,1000.67,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.11317,100,1001.23,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.15444,100,1002.32,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.19112,100,1003.25,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.23353,100,1004.32,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.28272,100,1005.52,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.34242,100,1007.01,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.39568,100,1008.25,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.45269,100,1009.6,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,293.15,0.51271,100,1010.96,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0,100,997.047,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
DWLyv,298.15,0.03697,100,998.03,Dagade et al. (2014),Density,Liquid,AADYJk,O,water,AAzpiM,CC(C)C[C@H](N)C(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium L-leucinate,,,
