setid,"Temperature, K","MolaLity of sodium benzoate, mol/kg","Solvent: MolaLity of 1-ethyl-3-methylimidazolium ethyl sulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EAnge,293.15,0,0,101.3,998.23,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0,0.0998,101.3,1003.46,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0,0.1501,101.3,1005.86,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0,0.1999,101.3,1008.17,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0098,0.0998,101.3,1004.09,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0099,0,101.3,998.89,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0099,0.1501,101.3,1006.47,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0101,0.1999,101.3,1008.76,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0299,0.1999,101.3,1009.86,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.03,0,101.3,1000.19,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.03,0.1501,101.3,1007.64,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
EAnge,293.15,0.0301,0.0998,101.3,1005.34,Singh et al. (2023c),Density,Liquid,AAblPZ,O=C([O-])c1ccccc1.[Na+],sodium benzoate,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,AADYJk,O,water
