setid,"Temperature, K","MolaLity of tetraphenylphosphorane bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EIwzX,288.15,0.01559,101,972,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,288.15,0.02598,101,973.5,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,288.15,0.03663,101,974.8,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,288.15,0.04712,101,976.8,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,288.15,0.05314,101,976.9,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,288.15,0.05916,101,977.6,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,298.15,0.01057,101,961.4,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,298.15,0.03164,101,964.1,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,298.15,0.04228,101,965.5,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,298.15,0.05298,101,966.8,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,298.15,0.06388,101,968.1,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,298.15,0.07887,101,970,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,308.15,0.016,101,956.2,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,308.15,0.03716,101,958.5,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,308.15,0.04797,101,960.2,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,308.15,0.05886,101,961.4,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,308.15,0.08054,101,964.1,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
EIwzX,308.15,0.0943,101,965.8,Victor et al. (2001),Density,Liquid,AAOgvx,COCCO,2-methoxyethan-1-ol,ABchqg,[Br-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphorane bromide,,,
