setid,"Temperature, K",Mole fraction of 1-butyl-2-methylpyridinium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Ecnik,298.15,0.0532,101,884,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,298.15,0.1033,101,946,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,298.15,0.1509,101,989.6,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,298.15,0.2096,101,1030.6,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,298.15,0.3049,101,1077.5,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,298.15,0.4071,101,1112.3,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,298.15,0.5097,101,1138,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,298.15,0.552,101,1146.3,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,298.15,0.6388,101,1161.7,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,298.15,0.7058,101,1171.4,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,298.15,0.7993,101,1182.9,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,298.15,0.8561,101,1189.09,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,298.15,0.9464,101,1197.68,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,318.15,0.0344,101,836.1,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,318.15,0.0806,101,902.5,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,318.15,0.1493,101,972.7,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,318.15,0.2235,101,1025,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,318.15,0.331,101,1075,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
Ecnik,318.15,0.415,101,1102.2,Navas et al. (2009),Density,Liquid,AAGIBL,CO,methanol,AAtepM,CCCC[n+]1ccccc1C.F[B-](F)(F)F,1-butyl-2-methylpyridinium tetrafluoroborate,,,
