setid,"Temperature, K",Mole fraction of glycerol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EdGZF,293.15,0.199,100,1374,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.299,100,1364,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.401,100,1356,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.499,100,1346,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.605,100,1334,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.698,100,1318,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.805,100,1303,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.899,100,1286,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.919,100,1281,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.962,100,1271,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.982,100,1266,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.989,100,1264,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.996,100,1262,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,293.15,0.998,100,1261,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.199,100,1369,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.299,100,1360,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.401,100,1351,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.499,100,1342,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.605,100,1330,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.698,100,1314,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.805,100,1299,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.899,100,1282,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.919,100,1278,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.962,100,1268,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.982,100,1262,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.989,100,1260,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.996,100,1258,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
EdGZF,298.15,0.998,100,1258,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAyCVz,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,,,
