setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium dimethyl phosphate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EwhCX,293.15,0,101,789.9,Zhang et al. (2014d),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
EwhCX,293.15,0.1,101,919.1,Zhang et al. (2014d),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
EwhCX,293.15,0.2001,101,1004.8,Zhang et al. (2014d),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
EwhCX,293.15,0.3008,101,1068.2,Zhang et al. (2014d),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
EwhCX,293.15,0.4,101,1115.6,Zhang et al. (2014d),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
EwhCX,293.15,0.4972,101,1152.1,Zhang et al. (2014d),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
EwhCX,293.15,0.5926,101,1181.8,Zhang et al. (2014d),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
EwhCX,293.15,0.6991,101,1208.8,Zhang et al. (2014d),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
EwhCX,293.15,0.7972,101,1230,Zhang et al. (2014d),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
EwhCX,293.15,0.9001,101,1249.8,Zhang et al. (2014d),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
