setid,"Temperature, K",Mole fraction of 1-butyl-3-methylpyridinium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FLFoX,293.15,0.0572,101,861.245,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,293.15,0.0964,101,900.833,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,293.15,0.1466,101,942.807,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,293.15,0.1964,101,977.495,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,293.15,0.2431,101,1004.66,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,293.15,0.2998,101,1032.24,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,293.15,0.3966,101,1069.96,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,293.15,0.4984,101,1100.02,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,293.15,0.5931,101,1122.42,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,293.15,0.691,101,1141.63,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,293.15,0.8022,101,1159.85,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,293.15,0.8923,101,1172.56,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,293.15,0.9517,101,1180.05,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,303.15,0.0572,101,852.837,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,303.15,0.0964,101,892.417,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,303.15,0.1466,101,934.902,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,303.15,0.1964,101,969.562,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,303.15,0.2431,101,996.702,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,303.15,0.2998,101,1024.76,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,303.15,0.3966,101,1062.42,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,303.15,0.4984,101,1092.8,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,303.15,0.5931,101,1115.36,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.0572,101,844.506,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.0964,101,884.287,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.1466,101,926.796,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.1964,101,961.571,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.2431,101,988.807,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.2998,101,1016.86,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.3966,101,1055,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.4984,101,1085.55,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.5931,101,1108.06,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.691,101,1127.5,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.8022,101,1145.95,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.8923,101,1158.84,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,313.15,0.9517,101,1166.44,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.0572,101,835.724,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.0964,101,875.61,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.1466,101,918.466,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.1964,101,953.451,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.2431,101,980.836,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.2998,101,1009.22,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.3966,101,1047.46,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.4984,101,1078.03,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.5931,101,1100.95,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.691,101,1120.36,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.8022,101,1138.97,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.8923,101,1151.94,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
FLFoX,323.15,0.9517,101,1159.62,Garcia-Mardones et al. (2012a),Density,Liquid,AAIsrh,CCO,ethanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
