setid,"Temperature, K","MolaRity of N,N,N-triheptyl-1-heptanaminium bromide, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FXKPu,308.15,0.01012,101,918.47,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,308.15,0.02024,101,919.44,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,308.15,0.03036,101,920.43,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,308.15,0.04048,101,921.42,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,308.15,0.0506,101,922.38,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,308.15,0.06072,101,923.36,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,313.15,0.01008,101,914.81,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,313.15,0.02016,101,915.81,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,313.15,0.03024,101,916.82,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,313.15,0.04032,101,917.85,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,313.15,0.05038,101,918.85,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,313.15,0.06049,101,919.87,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,318.15,0.01004,101,911.07,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,318.15,0.02008,101,912.07,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,318.15,0.03012,101,913.05,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,318.15,0.04016,101,914.09,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,318.15,0.0502,101,915.09,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,318.15,0.06024,101,916.12,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,323.15,0.00999,101,907.04,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,323.15,0.01999,101,908.12,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,323.15,0.02999,101,909.16,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,323.15,0.03999,101,910.19,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,323.15,0.04999,101,911.18,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
FXKPu,323.15,0.05999,101,912.21,Haldar and Das (2005),Density,Liquid,AARRPu,CCOCCO,2-ethoxyethan-1-ol,ABqSGL,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],"N,N,N-triheptyl-1-heptanaminium bromide",,,
