setid,"MolaLity of L-glutamic acid, mol/kg","Solvent: MolaLity of 1-heptyl-3-methylimidazolium tetrafluoroborate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FXZDg,0,0.01,288.15,100,999.44,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0,0.01,298.15,100,997.37,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0,0.01,308.15,100,994.34,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0,0.03,288.15,100,1000.15,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0,0.03,298.15,100,998.03,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0,0.03,308.15,100,994.95,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0,0.05,288.15,100,1000.88,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0,0.05,298.15,100,998.7,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0,0.05,308.15,100,995.56,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0098,0.01,288.15,100,1000.05,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0098,0.01,298.15,100,997.97,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0098,0.01,308.15,100,994.92,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0099,0.03,288.15,100,1000.81,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0099,0.03,298.15,100,998.67,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0099,0.03,308.15,100,995.58,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0105,0.05,288.15,100,1001.59,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0105,0.05,298.15,100,999.4,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0105,0.05,308.15,100,996.27,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0196,0.01,288.15,100,1000.65,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0196,0.01,298.15,100,998.56,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0196,0.01,308.15,100,995.5,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0198,0.03,288.15,100,1001.45,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0198,0.03,298.15,100,999.31,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0198,0.03,308.15,100,996.2,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0201,0.05,288.15,100,1002.24,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0201,0.05,298.15,100,1000.05,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0201,0.05,308.15,100,996.91,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0304,0.05,288.15,100,1002.93,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0304,0.05,298.15,100,1000.74,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0304,0.05,308.15,100,997.59,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0305,0.01,288.15,100,1001.32,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0305,0.01,298.15,100,999.21,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0305,0.01,308.15,100,996.14,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0306,0.03,288.15,100,1002.16,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0306,0.03,298.15,100,1000,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0306,0.03,308.15,100,996.88,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0395,0.01,288.15,100,1001.87,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0395,0.01,298.15,100,999.75,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0395,0.01,308.15,100,996.67,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0399,0.03,288.15,100,1002.76,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0399,0.03,298.15,100,1000.6,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0399,0.03,308.15,100,997.47,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0403,0.05,288.15,100,1003.59,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0403,0.05,298.15,100,1001.4,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0403,0.05,308.15,100,998.25,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0599,0.05,288.15,100,1004.9,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0599,0.05,298.15,100,1002.7,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0599,0.05,308.15,100,999.54,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0602,0.01,288.15,100,1003.13,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
FXZDg,0.0602,0.01,298.15,100,1000.99,Gaba et al. (2021),Density,Liquid,AAcPgp,N[C@@H](CCC(=O)O)C(=O)O,L-glutamic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
