setid,"Temperature, K",Mole fraction of 1-ethyl-1-methylpiperidinium ethyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FemnU,298.15,0,101,997.06,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,298.15,0.106,101,1113.1,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,298.15,0.1407,101,1128.31,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,298.15,0.2161,101,1148.02,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,298.15,0.2643,101,1155.38,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,298.15,0.3605,101,1164.49,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,298.15,0.4662,101,1170.4,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,298.15,0.5583,101,1173.75,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,298.15,0.6591,101,1176.5,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,298.15,0.7296,101,1177.9,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,298.15,0.8133,101,1179.2,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,298.15,1,101,1181.3,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,303.15,0,101,995.65,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,303.15,0.106,101,1109.81,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,303.15,0.1407,101,1124.96,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,303.15,0.2161,101,1144.56,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,303.15,0.2643,101,1152,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,303.15,0.3605,101,1161.22,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,303.15,0.4662,101,1167.23,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,303.15,0.5583,101,1170.68,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,303.15,0.6591,101,1173.3,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,303.15,0.7296,101,1174.8,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,303.15,0.8133,101,1176.1,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,303.15,1,101,1178.2,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,308.15,0,101,994.01,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,308.15,0.106,101,1106.45,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,308.15,0.1407,101,1121.5,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,308.15,0.2161,101,1141.12,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,308.15,0.2643,101,1148.59,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,308.15,0.3605,101,1157.92,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,308.15,0.4662,101,1164.02,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,308.15,0.5583,101,1167.53,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,308.15,0.6591,101,1170.2,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,308.15,0.7296,101,1171.6,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,308.15,0.8133,101,1172.9,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,308.15,1,101,1175.1,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
FemnU,313.15,0,101,992.15,Krolikowska et al. (2014a),Density,Liquid,AADYJk,O,water,AAwlge,CCOS(=O)(=O)[O-].CC[N+]1(C)CCCCC1,1-ethyl-1-methylpiperidinium ethyl sulfate,,,
