setid,Weight fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Giumg,0.0082,308.15,100,1116.5,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0082,313.15,100,1114,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0082,318.15,100,1110.9,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0082,323.15,100,1109,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0082,328.15,100,1106.5,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0082,333.15,100,1103.8,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0082,338.15,100,1101.2,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0082,343.15,100,1099.3,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0105,308.15,100,1113.7,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0105,313.15,100,1111.2,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0105,318.15,100,1108.1,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0105,323.15,100,1106.1,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0105,328.15,100,1103.8,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0105,333.15,100,1100.9,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0105,338.15,100,1098.3,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0105,343.15,100,1096.5,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0115,308.15,100,1112,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0115,313.15,100,1109.5,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0115,318.15,100,1106.4,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0115,323.15,100,1104.5,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0115,328.15,100,1102.1,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0115,333.15,100,1099.2,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0115,338.15,100,1096.9,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0115,343.15,100,1094.8,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0138,308.15,100,1109.1,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0138,313.15,100,1106.6,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0138,318.15,100,1103.5,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0138,323.15,100,1101.6,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0138,328.15,100,1099.3,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0138,333.15,100,1097.3,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0138,338.15,100,1094.6,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0138,343.15,100,1091.9,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0159,308.15,100,1107.3,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0159,313.15,100,1104.8,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0159,318.15,100,1101.7,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0159,323.15,100,1099.9,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0159,328.15,100,1097.5,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0159,333.15,100,1094.6,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0159,338.15,100,1091.9,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
Giumg,0.0159,343.15,100,1090.1,Fang et al. (2014),Density,Liquid,ABINaR,CCCCCC[n+]1ccn(C)c1.NC(CCC(=O)O)C(=O)[O-],1-hexyl-3-methylimidazolium DL-glutamate,AADYJk,O,water,,,
