setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GlrhS,293.15,0,101.3,960.8,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,293.15,0.1057,101.3,999,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,293.15,0.218,101.3,1037.1,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,293.15,0.312,101.3,1066.2,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,293.15,0.4174,101.3,1095.1,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,293.15,0.5096,101.3,1117.3,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,293.15,0.6039,101.3,1137.2,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,293.15,0.6998,101.3,1155.6,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,293.15,0.8077,101.3,1174.4,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,293.15,0.9177,101.3,1192.7,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,293.15,1,101.3,1203.7,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,298.15,0,101.3,956.6,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,298.15,0.1057,101.3,995.1,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,298.15,0.218,101.3,1033.8,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,298.15,0.312,101.3,1062.9,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,298.15,0.4174,101.3,1091.7,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,298.15,0.5096,101.3,1113.9,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,298.15,0.6039,101.3,1133.7,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,298.15,0.6998,101.3,1152.1,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,298.15,0.8077,101.3,1170.9,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,298.15,0.9177,101.3,1189.3,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,298.15,1,101.3,1200.9,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,303.15,0,101.3,952.5,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,303.15,0.1057,101.3,991.2,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,303.15,0.218,101.3,1030.1,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,303.15,0.312,101.3,1059.4,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,303.15,0.4174,101.3,1088.3,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,303.15,0.5096,101.3,1110.3,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
GlrhS,303.15,0.6039,101.3,1130.3,Master and Malek (2020),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAXPsE,CCNc1ccccc1,N-ethylaminobenzene,,,
