setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
GxwfM,298.15,0,101,960.32,Krishna et al. (2017),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
GxwfM,298.15,0.0966,101,1054.2,Krishna et al. (2017),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
GxwfM,298.15,0.1943,101,1125.7,Krishna et al. (2017),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
GxwfM,298.15,0.2887,101,1178.9,Krishna et al. (2017),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
GxwfM,298.15,0.3979,101,1227.1,Krishna et al. (2017),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
GxwfM,298.15,0.4792,101,1256.1,Krishna et al. (2017),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
GxwfM,298.15,0.5943,101,1289.8,Krishna et al. (2017),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
GxwfM,298.15,0.6753,101,1309.6,Krishna et al. (2017),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
GxwfM,298.15,0.8101,101,1337.1,Krishna et al. (2017),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
GxwfM,298.15,0.8849,101,1350,Krishna et al. (2017),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAOgvx,COCCO,2-methoxyethan-1-ol,,,
