setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Gybyn,293.15,0,100,809.3,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxVB,CCCC(C)O,pentan-2-ol,,,
Gybyn,293.15,0.0812,100,854,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxVB,CCCC(C)O,pentan-2-ol,,,
Gybyn,293.15,0.1604,100,893.6,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxVB,CCCC(C)O,pentan-2-ol,,,
Gybyn,293.15,0.2403,100,929.8,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxVB,CCCC(C)O,pentan-2-ol,,,
Gybyn,293.15,0.3499,100,974.3,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxVB,CCCC(C)O,pentan-2-ol,,,
Gybyn,293.15,0.4399,100,1007.1,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxVB,CCCC(C)O,pentan-2-ol,,,
Gybyn,293.15,0.5604,100,1046.7,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxVB,CCCC(C)O,pentan-2-ol,,,
Gybyn,293.15,0.6505,100,1073.3,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxVB,CCCC(C)O,pentan-2-ol,,,
Gybyn,293.15,0.7405,100,1097.8,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxVB,CCCC(C)O,pentan-2-ol,,,
Gybyn,293.15,0.8501,100,1124.9,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxVB,CCCC(C)O,pentan-2-ol,,,
Gybyn,293.15,0.9396,100,1145.3,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxVB,CCCC(C)O,pentan-2-ol,,,
Gybyn,293.15,1,100,1158.3,Heydarian et al. (2019),Density,Liquid,AAmkVH,CCCC[n+]1ccn(C)c1.O=[N+]([O-])[O-],1-butyl-3-methylimidazolium nitrate,AAQxVB,CCCC(C)O,pentan-2-ol,,,
