setid,"Temperature, K","Mole fraction of 1-butyl-2,3-dimethylimidazolium tetrafluoroborate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HFEGF,298.15,0,101,1095.74,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,298.15,0.138,101,1128.27,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,298.15,0.2292,101,1142.83,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,298.15,0.3151,101,1153.4,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,298.15,0.4079,101,1162.44,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,298.15,0.5334,101,1172.17,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,298.15,0.6374,101,1178.33,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,298.15,0.7004,101,1181.74,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,298.15,0.7952,101,1185.94,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,298.15,0.8785,101,1189.03,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,298.15,1,101,1193.19,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,303.15,0,101,1090.73,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,303.15,0.138,101,1123.85,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,303.15,0.2292,101,1138.65,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,303.15,0.3151,101,1149.37,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,303.15,0.4079,101,1158.58,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,303.15,0.5334,101,1168.48,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,303.15,0.6374,101,1174.75,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,303.15,0.7004,101,1178.22,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,303.15,0.7952,101,1182.45,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,303.15,0.8785,101,1185.53,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,303.15,1,101,1189.8,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,313.15,0,101,1080.69,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,313.15,0.138,101,1115.07,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,313.15,0.2292,101,1130.35,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,313.15,0.3151,101,1141.4,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,313.15,0.4079,101,1150.89,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,313.15,0.5334,101,1161.12,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,313.15,0.6374,101,1167.61,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,313.15,0.7004,101,1171.2,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,313.15,0.7952,101,1175.55,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,313.15,0.8785,101,1178.68,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
HFEGF,313.15,1,101,1183.02,Ciocirlan and Iulian (2012),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
