setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HLwxh,0.0987,293.15,101,903,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.0987,298.15,101,898.9,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.0987,303.15,101,894.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.0987,308.15,101,890.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.0987,313.15,101,886.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.0987,318.15,101,882.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.1923,293.15,101,976.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.1923,298.15,101,972.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.1923,303.15,101,968.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.1923,308.15,101,964.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.1923,313.15,101,960.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.1923,318.15,101,956.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.3004,293.15,101,1037.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.3004,298.15,101,1033.9,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.3004,303.15,101,1030,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.3004,308.15,101,1026.1,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.3004,313.15,101,1022.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.3004,318.15,101,1018.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.3885,293.15,101,1075.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.3885,298.15,101,1071.9,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.3885,303.15,101,1068,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.3885,308.15,101,1064.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.3885,313.15,101,1060.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
HLwxh,0.3885,318.15,101,1056.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,,,
