setid,"Temperature, K","Solvent: MolaLity of 1-ethyl-3-methylimidazolium bromide, mol/kg","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HMZfm,298.15,0.025,0,101,998.38,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.025,0.0205,101,998.97,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.025,0.0411,101,999.56,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.025,0.0626,101,1000.18,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.025,0.1023,101,1001.3,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.025,0.1496,101,1002.63,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.025,0.2046,101,1004.15,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.055,0,101,999.96,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.055,0.0199,101,1000.53,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.055,0.0376,101,1001.04,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.055,0.0586,101,1001.63,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.055,0.1021,101,1002.85,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.055,0.1507,101,1004.21,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,298.15,0.055,0.2011,101,1005.58,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.025,0,101,995.33,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.025,0.0205,101,995.92,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.025,0.0411,101,996.51,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.025,0.0626,101,997.09,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.025,0.1023,101,998.22,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.025,0.1496,101,999.55,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.025,0.2046,101,1001.03,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.055,0,101,996.89,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.055,0.0199,101,997.45,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.055,0.0376,101,997.96,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.055,0.0586,101,998.56,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.055,0.1021,101,999.77,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.055,0.1507,101,1001.08,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
HMZfm,308.15,0.055,0.2011,101,1002.46,Fang and Ren (2013),Density,Liquid,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
