setid,"Temperature, K",Mole fraction of 2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HklYj,298.15,0,101,977.96,Domanska et al. (2013e),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
HklYj,298.15,0.0936,101,1098.4,Domanska et al. (2013e),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
HklYj,298.15,0.1801,101,1162.82,Domanska et al. (2013e),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
HklYj,298.15,0.2726,101,1208.22,Domanska et al. (2013e),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
HklYj,298.15,0.363,101,1239.48,Domanska et al. (2013e),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
HklYj,298.15,0.4617,101,1264.59,Domanska et al. (2013e),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
HklYj,298.15,0.5416,101,1280.27,Domanska et al. (2013e),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
HklYj,298.15,0.6325,101,1294.58,Domanska et al. (2013e),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
HklYj,298.15,0.7238,101,1306.28,Domanska et al. (2013e),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
HklYj,298.15,0.8131,101,1315.9,Domanska et al. (2013e),Density,Liquid,AAPLMm,c1ccncc1,pyridine,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
