setid,"Temperature, K","Mole fraction of 1-butyl-2,3-dimethylimidazolium thiocyanate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Htcnq,288.15,0,100,787.6,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,288.15,0.1001,100,889,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,288.15,0.2004,100,951.3,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,288.15,0.2999,100,995.1,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,288.15,0.4003,100,1026.6,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,288.15,0.5001,100,1038.6,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,288.15,0.5999,100,1050.7,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,288.15,0.6999,100,1063,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,288.15,0.8002,100,1068.3,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,288.15,0.9002,100,1076,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,288.15,1,100,1084.2,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,293.15,0,100,781.9,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,293.15,0.1001,100,885.2,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,293.15,0.2004,100,948,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,293.15,0.2999,100,991.9,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,293.15,0.4003,100,1024,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,293.15,0.5001,100,1036.2,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,293.15,0.5999,100,1048.2,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,293.15,0.6999,100,1060.4,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,293.15,0.8002,100,1066.1,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,293.15,0.9002,100,1073.6,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,293.15,1,100,1081.1,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,298.15,0,100,776.5,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,298.15,0.1001,100,881.4,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,298.15,0.2004,100,944.6,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,298.15,0.2999,100,988.6,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,298.15,0.4003,100,1021.3,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,298.15,0.5001,100,1033.5,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,298.15,0.5999,100,1045.7,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,298.15,0.6999,100,1057.9,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,298.15,0.8002,100,1063.8,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,298.15,0.9002,100,1071.4,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,298.15,1,100,1078.2,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,303.15,0,100,771.1,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,303.15,0.1001,100,877.5,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,303.15,0.2004,100,941.3,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,303.15,0.2999,100,985.3,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,303.15,0.4003,100,1018.6,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,303.15,0.5001,100,1030.8,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,303.15,0.5999,100,1043.2,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,303.15,0.6999,100,1055.2,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,303.15,0.8002,100,1061.8,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,303.15,0.9002,100,1068.9,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,303.15,1,100,1075.2,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,308.15,0,100,765.8,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,308.15,0.1001,100,873.6,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,308.15,0.2004,100,938.1,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,308.15,0.2999,100,982.1,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,308.15,0.4003,100,1015.9,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,308.15,0.5001,100,1028.1,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,308.15,0.5999,100,1040.8,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,308.15,0.6999,100,1052.7,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,308.15,0.8002,100,1059.6,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,308.15,0.9002,100,1066.6,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,308.15,1,100,1072.2,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,313.15,0,100,760.4,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,313.15,0.1001,100,869.8,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,313.15,0.2004,100,934.7,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,313.15,0.2999,100,978.7,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,313.15,0.4003,100,1013.2,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,313.15,0.5001,100,1025.4,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,313.15,0.5999,100,1038.3,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,313.15,0.6999,100,1050.1,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,313.15,0.8002,100,1057.3,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,313.15,0.9002,100,1064.3,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,313.15,1,100,1069.2,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,318.15,0,100,755.1,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
Htcnq,318.15,0.1001,100,866,Zhang et al. (2018c),Density,Liquid,AAohiD,CCCC[n+]1ccn(C)c1C.N#C[S-],"1-butyl-2,3-dimethylimidazolium thiocyanate",AAHueB,CC#N,acetonitrile,,,
