setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ICRbZ,293.15,101.325,1289.6,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
ICRbZ,298.15,101.325,1285.7,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
ICRbZ,303.15,101.325,1281.9,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
ICRbZ,308.15,101.325,1278.3,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
ICRbZ,313.15,101.325,1274.6,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
ICRbZ,318.15,101.325,1271,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
ICRbZ,323.15,101.325,1267.4,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
ICRbZ,328.15,101.325,1263.8,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
ICRbZ,333.15,101.325,1260.2,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
ICRbZ,338.15,101.325,1256.6,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
ICRbZ,343.15,101.325,1253.1,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
ICRbZ,348.15,101.325,1249.2,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
ICRbZ,353.15,101.325,1245.8,Ziyada et al. (2011),Density,Liquid,ABQRyC,CCCCCC[n+]1ccn(CCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium trifluoromethanesulfonate,,,,,,
