setid,Weight fraction of ethanol,Weight fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IKpXi,0.0143,0.094,101,298.15,1076.43,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.0296,0.0926,101,298.15,1070.76,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.0312,0.1298,101,298.15,1068.88,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.0337,0.1875,101,298.15,1064.62,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.0369,0.2812,101,298.15,1055.95,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.0655,0.0892,101,298.15,1058.53,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.07,0.1246,101,298.15,1054.89,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.0726,0.1799,101,298.15,1051.36,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.0811,0.2683,101,298.15,1042.54,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.0932,0.6347,101,298.15,1008.2,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.0951,0.8144,101,298.15,991.48,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.0971,0.5417,101,298.15,1015.37,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.0989,0.3605,101,298.15,1029.54,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.1009,0.7193,101,298.15,998.5,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.1101,0.0849,101,298.15,1041.78,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.1128,0.1189,101,298.15,1039.96,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.1221,0.1703,101,298.15,1034.77,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.1351,0.2526,101,298.15,1025.43,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.1537,0.0807,101,298.15,1026.83,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.1673,0.3331,101,298.15,1009.91,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.1698,0.1113,101,298.15,1020.63,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.1759,0.1599,101,298.15,1016.93,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.1824,0.5723,101,298.15,990.14,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
IKpXi,0.1848,0.4891,101,298.15,995.02,Calvar et al. (2006),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride
