setid,"Temperature, K",Mole fraction of 1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IaBsc,293.15,0,100,791.3,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,293.15,0.0999,100,968,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,293.15,0.2001,100,1040.9,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,293.15,0.3002,100,1080.4,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,293.15,0.3999,100,1104.3,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,293.15,0.5002,100,1120.5,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,293.15,0.6001,100,1131.8,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,293.15,0.7003,100,1140.3,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,293.15,0.7998,100,1147,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,293.15,0.8995,100,1152.9,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,293.15,1,100,1158,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,303.15,0,100,781.9,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,303.15,0.0999,100,960.6,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,303.15,0.2001,100,1034.3,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,303.15,0.3002,100,1074.1,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,303.15,0.3999,100,1098.2,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,303.15,0.5002,100,1114.6,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,303.15,0.6001,100,1125.8,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,303.15,0.7003,100,1134.4,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,303.15,0.7998,100,1141.2,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,303.15,0.8995,100,1147.2,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,303.15,1,100,1152.1,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
IaBsc,313.15,0,100,772.4,Yang and Fang (2019),Density,Liquid,ABIDkk,C[N+](C)(C)CCC[n+]1ccccc1.N#C[N-]C#N.N#C[N-]C#N,1-(3-(trimethylammonio)propyl)pyridinium dicyanamide,AAGIBL,CO,methanol,,,
