setid,"Temperature, K","MolaLity of benzyldimethylammonium propionate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IgZOk,293.15,0.02356,101.3,790.863,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,293.15,0.05911,101.3,792.267,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,293.15,0.11657,101.3,794.503,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,293.15,0.20649,101.3,797.788,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,293.15,0.28881,101.3,800.732,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,293.15,0.38244,101.3,804.063,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,293.15,0.60084,101.3,811.361,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,293.15,0.67631,101.3,813.779,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,298.15,0.02356,101.3,786.575,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,298.15,0.05911,101.3,787.965,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,298.15,0.11657,101.3,790.177,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,298.15,0.20649,101.3,793.433,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,298.15,0.28881,101.3,796.361,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,298.15,0.38244,101.3,799.664,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,298.15,0.60084,101.3,806.927,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,298.15,0.67631,101.3,809.339,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,303.15,0.02356,101.3,782.241,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,303.15,0.05911,101.3,783.59,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,303.15,0.11657,101.3,785.742,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,303.15,0.20649,101.3,789.031,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,303.15,0.28881,101.3,791.946,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,303.15,0.38244,101.3,795.208,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,303.15,0.60084,101.3,802.458,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,303.15,0.67631,101.3,804.856,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,308.15,0.02356,101.3,777.883,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,308.15,0.05911,101.3,779.222,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,308.15,0.11657,101.3,781.352,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,308.15,0.20649,101.3,784.61,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,308.15,0.28881,101.3,787.492,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,308.15,0.38244,101.3,790.752,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,308.15,0.60084,101.3,797.944,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,308.15,0.67631,101.3,800.327,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,313.15,0.02356,101.3,773.486,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,313.15,0.05911,101.3,774.809,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,313.15,0.11657,101.3,776.913,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,313.15,0.20649,101.3,780.131,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,313.15,0.28881,101.3,782.975,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,313.15,0.38244,101.3,786.194,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,313.15,0.60084,101.3,793.292,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,313.15,0.67631,101.3,795.644,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,318.15,0.02356,101.3,769.042,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,318.15,0.05911,101.3,770.351,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,318.15,0.11657,101.3,772.432,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,318.15,0.20649,101.3,775.614,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,318.15,0.28881,101.3,778.427,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,318.15,0.38244,101.3,781.613,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,318.15,0.60084,101.3,788.632,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
IgZOk,318.15,0.67631,101.3,790.958,Keshapolla et al. (2015),Density,Liquid,AAIsrh,CCO,ethanol,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
