setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium dimethyl phosphate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IxFSP,298.15,0.203,101.325,1040.2,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,298.15,0.399,101.325,1158.3,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,298.15,0.603,101.325,1205.5,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,298.15,0.805,101.325,1236.4,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,298.15,1,101.325,1258.7,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,303.15,0.203,101.325,1037.1,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,303.15,0.399,101.325,1155.2,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,303.15,0.603,101.325,1201.4,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,303.15,0.805,101.325,1233,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,303.15,1,101.325,1255.9,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,308.15,0.203,101.325,1033.2,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,308.15,0.399,101.325,1151.2,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,308.15,0.603,101.325,1197.8,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,308.15,0.805,101.325,1229.7,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,308.15,1,101.325,1253,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,313.15,0.203,101.325,1030.2,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,313.15,0.399,101.325,1148.1,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,313.15,0.603,101.325,1194.1,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,313.15,0.805,101.325,1226.4,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
IxFSP,313.15,1,101.325,1249.1,He et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
