setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JBmxo,303.15,0,100,795.12,Wu et al. (2014b),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AANtck,CCC(C)=O,butanone,,,
JBmxo,303.15,0.0997,100,882.31,Wu et al. (2014b),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AANtck,CCC(C)=O,butanone,,,
JBmxo,303.15,0.1995,100,949.09,Wu et al. (2014b),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AANtck,CCC(C)=O,butanone,,,
JBmxo,303.15,0.2996,100,1002.7,Wu et al. (2014b),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AANtck,CCC(C)=O,butanone,,,
JBmxo,303.15,0.3997,100,1046.45,Wu et al. (2014b),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AANtck,CCC(C)=O,butanone,,,
JBmxo,303.15,0.5001,100,1082.79,Wu et al. (2014b),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AANtck,CCC(C)=O,butanone,,,
JBmxo,303.15,0.6001,100,1113.16,Wu et al. (2014b),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AANtck,CCC(C)=O,butanone,,,
JBmxo,303.15,0.6998,100,1139.12,Wu et al. (2014b),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AANtck,CCC(C)=O,butanone,,,
JBmxo,303.15,0.7999,100,1161.47,Wu et al. (2014b),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AANtck,CCC(C)=O,butanone,,,
JBmxo,303.15,0.8993,100,1180.64,Wu et al. (2014b),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AANtck,CCC(C)=O,butanone,,,
JBmxo,303.15,1,100,1198.03,Wu et al. (2014b),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AANtck,CCC(C)=O,butanone,,,
