setid,"Temperature, K","MolaLity of 1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JNuYt,293.15,0.05201,100,1004.6,Singh and Gardas (2018),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
JNuYt,293.15,0.10255,100,1010.7,Singh and Gardas (2018),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
JNuYt,293.15,0.20048,100,1022.3,Singh and Gardas (2018),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
JNuYt,293.15,0.25635,100,1028.8,Singh and Gardas (2018),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
JNuYt,293.15,0.29629,100,1033.3,Singh and Gardas (2018),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
JNuYt,293.15,0.35092,100,1039.5,Singh and Gardas (2018),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
JNuYt,293.15,0.39632,100,1044.5,Singh and Gardas (2018),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
JNuYt,293.15,0.4736,100,1053.1,Singh and Gardas (2018),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
JNuYt,298.15,0.05201,100,1003.4,Singh and Gardas (2018),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
JNuYt,298.15,0.10255,100,1009.4,Singh and Gardas (2018),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
JNuYt,298.15,0.20048,100,1020.8,Singh and Gardas (2018),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
JNuYt,298.15,0.25635,100,1027.2,Singh and Gardas (2018),Density,Liquid,ABbGzo,CCCCn1c[n+](CCCCS(=O)(=O)O)cn1.O=S(=O)([O-])C(F)(F)F,"1-butyl-4-(4-sulfobutyl)-1H-1,2,4-triazol-4-ium trifluoromethanesulfonate",AADYJk,O,water,,,
