setid,"Temperature, K","Pressure, kPa",Mole fraction of carbon dioxide,"Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JVgxf,298.15,2015,0.396,0.00022054,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
JVgxf,298.15,3586,0.592,0.00016303,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
JVgxf,323.15,800,0.139,0.00030825,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
JVgxf,323.15,3716,0.487,0.00020135,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
JVgxf,323.15,5430,0.583,0.00017249,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
JVgxf,323.15,6560,0.637,0.00015676,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
JVgxf,323.15,8039,0.692,0.00013952,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
JVgxf,323.15,9078,0.726,0.00012823,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
JVgxf,323.15,9969,0.751,0.00011803,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
JVgxf,323.15,11081,0.769,0.00011077,Ren et al. (2010b),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
