setid,"MolaLity of sodium dodecyl sulfate, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JbqXS,0.00923,101,333,0.004,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.01064,101,333,0.004,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.01232,101,333,0.002,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.01552,101,333,0.001,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.02361,101,333,0.02,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.03266,101,333,0.029,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.03295,101,333,0.021,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.05089,101,333,0.048,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.05533,101,333,0.02,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.0743,101,333,0.024,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.09869,101,333,0.03,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.1044,101,333,0.085,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.1126,101,333,0.025,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.1472,101,333,0.068,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.1959,101,333,0.039,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.1969,101,333,0.13,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.2598,101,333,0.15,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
JbqXS,0.2933,101,333,0.032,Inglese et al. (1998),Density,Liquid,AAIiso,NC=O,formamide,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
