setid,Mole fraction of choline bis(trifluoromethylsulfonyl)imide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JhtZY,0,293.15,100,789.5,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0,298.15,100,785.2,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0,303.15,100,780.8,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0,308.15,100,776.4,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.0399,293.15,100,907.2,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.0399,298.15,100,900.8,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.0399,303.15,100,896.3,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.0399,308.15,100,891.8,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.0998,293.15,100,1037.4,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.0998,298.15,100,1029.8,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.0998,303.15,100,1026,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.0998,308.15,100,1020.1,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.199,293.15,100,1179.2,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.199,298.15,100,1174.3,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.199,303.15,100,1169.1,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.199,308.15,100,1164,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.2949,293.15,100,1274,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.2949,298.15,100,1266.4,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.2949,303.15,100,1261.6,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
JhtZY,0.2949,308.15,100,1256.8,Santos et al. (2017),Density,Liquid,AAIsrh,CCO,ethanol,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,,,
