setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JjyPp,313,101.325,1055.9,Yoo et al. (2013b),Density,Liquid,AAnTde,C[n+]1ccn(C[Si](C)(C)C)c1.[Cl-],1-methyl-3-(trimethylsilylmethyl)imidazolium chloride,,,,,,
JjyPp,318,101.325,1053,Yoo et al. (2013b),Density,Liquid,AAnTde,C[n+]1ccn(C[Si](C)(C)C)c1.[Cl-],1-methyl-3-(trimethylsilylmethyl)imidazolium chloride,,,,,,
JjyPp,323,101.325,1050.1,Yoo et al. (2013b),Density,Liquid,AAnTde,C[n+]1ccn(C[Si](C)(C)C)c1.[Cl-],1-methyl-3-(trimethylsilylmethyl)imidazolium chloride,,,,,,
JjyPp,328,101.325,1047.2,Yoo et al. (2013b),Density,Liquid,AAnTde,C[n+]1ccn(C[Si](C)(C)C)c1.[Cl-],1-methyl-3-(trimethylsilylmethyl)imidazolium chloride,,,,,,
JjyPp,333,101.325,1044.1,Yoo et al. (2013b),Density,Liquid,AAnTde,C[n+]1ccn(C[Si](C)(C)C)c1.[Cl-],1-methyl-3-(trimethylsilylmethyl)imidazolium chloride,,,,,,
JjyPp,338,101.325,1040.9,Yoo et al. (2013b),Density,Liquid,AAnTde,C[n+]1ccn(C[Si](C)(C)C)c1.[Cl-],1-methyl-3-(trimethylsilylmethyl)imidazolium chloride,,,,,,
JjyPp,343,101.325,1038.1,Yoo et al. (2013b),Density,Liquid,AAnTde,C[n+]1ccn(C[Si](C)(C)C)c1.[Cl-],1-methyl-3-(trimethylsilylmethyl)imidazolium chloride,,,,,,
JjyPp,348,101.325,1035.3,Yoo et al. (2013b),Density,Liquid,AAnTde,C[n+]1ccn(C[Si](C)(C)C)c1.[Cl-],1-methyl-3-(trimethylsilylmethyl)imidazolium chloride,,,,,,
JjyPp,353,101.325,1032.4,Yoo et al. (2013b),Density,Liquid,AAnTde,C[n+]1ccn(C[Si](C)(C)C)c1.[Cl-],1-methyl-3-(trimethylsilylmethyl)imidazolium chloride,,,,,,
JjyPp,358,101.325,1029.6,Yoo et al. (2013b),Density,Liquid,AAnTde,C[n+]1ccn(C[Si](C)(C)C)c1.[Cl-],1-methyl-3-(trimethylsilylmethyl)imidazolium chloride,,,,,,
JjyPp,363,101.325,1026.8,Yoo et al. (2013b),Density,Liquid,AAnTde,C[n+]1ccn(C[Si](C)(C)C)c1.[Cl-],1-methyl-3-(trimethylsilylmethyl)imidazolium chloride,,,,,,
