setid,Mole fraction of 2-ethoxy-2-methylpropane,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JwUxW,0.0473,101,298.15,890.24,Hwang et al. (2013),Density,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
JwUxW,0.1037,101,298.15,888.11,Hwang et al. (2013),Density,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
JwUxW,0.1961,101,298.15,884.09,Hwang et al. (2013),Density,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
JwUxW,0.3076,101,298.15,878.3,Hwang et al. (2013),Density,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
JwUxW,0.3968,101,298.15,872.72,Hwang et al. (2013),Density,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
JwUxW,0.5075,101,298.15,864.28,Hwang et al. (2013),Density,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
JwUxW,0.5981,101,298.15,855.37,Hwang et al. (2013),Density,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
JwUxW,0.6992,101,298.15,841.62,Hwang et al. (2013),Density,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
JwUxW,0.7993,101,298.15,821.34,Hwang et al. (2013),Density,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
JwUxW,0.8987,101,298.15,790.03,Hwang et al. (2013),Density,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
JwUxW,0.9496,101,298.15,767.05,Hwang et al. (2013),Density,Liquid,AAThrn,CCOC(C)(C)C,2-ethoxy-2-methylpropane,ABvtRE,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],trihexyl(tetradecyl)phosphonium chloride,,,
