setid,"MolaLity of N-methyl-2-oxopyrrolidinium propionate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Jzvjh,0.1,288.15,100,1000.28,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.1,298.15,100,998.097,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.1,308.15,100,994.976,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.1,318.15,100,990.978,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.15,288.15,100,1000.81,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.15,298.15,100,998.566,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.15,308.15,100,995.384,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.15,318.15,100,991.337,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.2,288.15,100,1001.35,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.2,298.15,100,999.034,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.2,308.15,100,995.792,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.2,318.15,100,991.696,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.25,288.15,100,1001.89,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.25,298.15,100,999.503,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.25,308.15,100,996.2,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
Jzvjh,0.25,318.15,100,992.055,Singh et al. (2016b),Density,Liquid,AADYJk,O,water,AAhQWv,CCC(=O)[O-].C[N+]=1CCCC1O,N-methyl-2-oxopyrrolidinium propionate,,,
