setid,"Temperature, K",Mole fraction of 1-butyl-3-ethylimidazolium bromide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KVOSk,293.15,0,100,998.2,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,293.15,0.0508,100,1098,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,293.15,0.0989,100,1147.3,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,293.15,0.2035,100,1201,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,293.15,0.2952,100,1223.7,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,293.15,0.3401,100,1230.8,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,293.15,0.3992,100,1238.1,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,293.15,0.47,100,1244.5,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,293.15,0.5253,100,1248.2,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
KVOSk,293.15,0.5747,100,1250.9,Dozic et al. (2016),Density,Liquid,AADYJk,O,water,AAsrvt,CCCC[n+]1ccn(CC)c1.[Br-],1-butyl-3-ethylimidazolium bromide,,,
