setid,"Temperature, K",Mole fraction of 1-dodecyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LTnKQ,283,0,101,999.719,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,,,
LTnKQ,283,2.7e-05,101,999.688,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,,,
LTnKQ,283,3e-05,101,999.704,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,,,
LTnKQ,283,4.8e-05,101,999.71,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,,,
LTnKQ,283,7.4e-05,101,999.71,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,,,
LTnKQ,283,9.4e-05,101,999.705,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,,,
LTnKQ,283,0.000109,101,999.71,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,,,
LTnKQ,283,0.000129,101,999.718,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,,,
LTnKQ,283,0.000145,101,999.717,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,,,
LTnKQ,283,0.000163,101,999.735,Tariq et al. (2013),Density,Liquid,AADYJk,O,water,ABDIXm,CCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],1-dodecyl-3-methylimidazolium chloride,,,
