setid,"Temperature, K","Moles per mass of solution: tetrabutylammonium perchlorate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LkNEY,293.15,0.0221,101,1099.88,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,293.15,0.02657,101,1099.8,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,293.15,0.03391,101,1099.66,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,293.15,0.0419,101,1099.51,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,293.15,0.05653,101,1099.23,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,293.15,0.06854,101,1099.01,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,293.15,0.0843,101,1098.71,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,293.15,0.1021,101,1098.38,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,293.15,0.1198,101,1098.05,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,293.15,0.1362,101,1097.74,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,293.15,0.1532,101,1097.41,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,293.15,0.1707,101,1097.08,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,298.15,0.0221,101,1094.87,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,298.15,0.02657,101,1094.79,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,298.15,0.03391,101,1094.66,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,298.15,0.0419,101,1094.51,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,298.15,0.05653,101,1094.25,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,298.15,0.06854,101,1094.03,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,298.15,0.0843,101,1093.75,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,298.15,0.1021,101,1093.43,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,298.15,0.1198,101,1093.12,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,298.15,0.1362,101,1092.82,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,298.15,0.1532,101,1092.51,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,298.15,0.1707,101,1092.19,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,303.15,0.0221,101,1089.86,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,303.15,0.02657,101,1089.79,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,303.15,0.03391,101,1089.66,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,303.15,0.0419,101,1089.52,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,303.15,0.05653,101,1089.27,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,303.15,0.06854,101,1089.06,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,303.15,0.0843,101,1088.79,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,303.15,0.1021,101,1088.49,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,303.15,0.1198,101,1088.18,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,303.15,0.1362,101,1087.9,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,303.15,0.1532,101,1087.6,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
LkNEY,303.15,0.1707,101,1087.3,Krakowiak et al. (2000),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
