setid,Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LlTRF,0,101.3,298.15,805.71,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.0387,101.3,298.15,839.4,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.0981,101.3,298.15,885.9,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.1423,101.3,298.15,917.15,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.2254,101.3,298.15,969.25,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.3284,101.3,298.15,1024.35,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.4064,101.3,298.15,1060.42,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.4855,101.3,298.15,1092.94,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.5886,101.3,298.15,1130.24,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.6884,101.3,298.15,1161.71,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.7461,101.3,298.15,1178.06,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.8126,101.3,298.15,1195.4,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.8421,101.3,298.15,1202.6,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.8753,101.3,298.15,1210.4,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,0.9266,101.3,298.15,1221.7,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
LlTRF,1,101.3,298.15,1236.9,Domanska and Laskowska (2008),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
