setid,Mole fraction of choline bis(trifluoromethylsulfonyl)imide,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MIlDm,0,101,293.15,998.2,Reid et al. (2017),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AADYJk,O,water,,,
MIlDm,0.0838,101,293.15,1199.8,Reid et al. (2017),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AADYJk,O,water,,,
MIlDm,0.154,101,293.15,1371.4,Reid et al. (2017),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AADYJk,O,water,,,
MIlDm,0.203,101,293.15,1422.1,Reid et al. (2017),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AADYJk,O,water,,,
MIlDm,0.28,101,293.15,1449.2,Reid et al. (2017),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AADYJk,O,water,,,
MIlDm,0.3358,101,293.15,1467,Reid et al. (2017),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AADYJk,O,water,,,
MIlDm,0.4775,101,293.15,1490.4,Reid et al. (2017),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AADYJk,O,water,,,
MIlDm,0.5158,101,293.15,1493,Reid et al. (2017),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AADYJk,O,water,,,
MIlDm,0.6466,101,293.15,1504.7,Reid et al. (2017),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AADYJk,O,water,,,
MIlDm,0.7847,101,293.15,1513.3,Reid et al. (2017),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AADYJk,O,water,,,
MIlDm,0.8164,101,293.15,1519.2,Reid et al. (2017),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AADYJk,O,water,,,
MIlDm,1,101,293.15,1528.4,Reid et al. (2017),Density,Liquid,ABVvav,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,choline bis(trifluoromethylsulfonyl)imide,AADYJk,O,water,,,
