setid,"Temperature, K",Mole fraction of dichloromethane,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MaEUn,288.15,0,101.3,1381.1,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,288.15,0.0301,101.3,1381,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,288.15,0.1024,101.3,1380.5,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,288.15,0.1412,101.3,1380.2,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,288.15,0.2765,101.3,1378.9,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,288.15,0.3243,101.3,1378.4,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,288.15,0.4846,101.3,1376.1,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,288.15,0.536,101.3,1375.1,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,288.15,0.694,101.3,1370.6,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,288.15,0.7854,101.3,1366.4,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,288.15,0.8916,101.3,1357.6,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,288.15,0.943,101.3,1350.1,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,288.15,1,101.3,1334.8,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,0,101.3,1376.5,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,0.0301,101.3,1376.4,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,0.1024,101.3,1375.8,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,0.1412,101.3,1375.5,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,0.2765,101.3,1374.1,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,0.3243,101.3,1373.5,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,0.4846,101.3,1370.9,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,0.536,101.3,1369.8,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,0.694,101.3,1365,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,0.7854,101.3,1360.3,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,0.8916,101.3,1350.6,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,0.943,101.3,1342.4,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,293.15,1,101.3,1325.7,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,0,101.3,1371.9,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,0.0301,101.3,1371.7,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,0.1024,101.3,1371.1,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,0.1412,101.3,1370.7,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,0.2765,101.3,1369.2,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,0.3243,101.3,1368.7,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,0.4846,101.3,1365.8,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,0.536,101.3,1364.6,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,0.694,101.3,1359.3,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,0.7854,101.3,1354.2,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,0.8916,101.3,1343.6,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,0.943,101.3,1334.6,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
MaEUn,298.15,1,101.3,1316.5,Gonzalez et al. (2012a),Density,Liquid,AAQRGv,ClCCl,dichloromethane,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
