setid,"Temperature, K","MolaLity of 1-ethyl-2,3-dimethylimidazolium terafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ODutZ,293.15,0,101.3,782.3,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AAHueB,CC#N,acetonitrile,,,
ODutZ,293.15,0.5241,101.3,818.1,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AAHueB,CC#N,acetonitrile,,,
ODutZ,293.15,1.1792,101.3,855.6,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AAHueB,CC#N,acetonitrile,,,
ODutZ,293.15,2.0219,101.3,895.7,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AAHueB,CC#N,acetonitrile,,,
ODutZ,293.15,3.1446,101.3,938.3,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AAHueB,CC#N,acetonitrile,,,
ODutZ,293.15,4.7168,101.3,982.1,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AAHueB,CC#N,acetonitrile,,,
ODutZ,293.15,7.0761,101.3,1028.9,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AAHueB,CC#N,acetonitrile,,,
ODutZ,293.15,11.0067,101.3,1080.9,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AAHueB,CC#N,acetonitrile,,,
ODutZ,293.15,18.862,101.3,1139.9,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AAHueB,CC#N,acetonitrile,,,
ODutZ,298.15,0,101.3,776.9,Han et al. (2023),Density,Liquid,AAonFa,CC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-ethyl-2,3-dimethylimidazolium terafluoroborate",AAHueB,CC#N,acetonitrile,,,
