setid,"Temperature, K","MolaLity of 1-butyl-2,3-dimethylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ONdLk,288.15,0.0354,101,999.41,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,288.15,0.0466,101,999.559,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,288.15,0.0575,101,999.712,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,288.15,0.0702,101,999.936,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,288.15,0.0932,101,1000.31,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,288.15,0.1164,101,1000.68,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,288.15,0.1401,101,1000.99,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,288.15,0.1635,101,1001.1,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,288.15,0.1862,101,1001.01,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,288.15,0.2082,101,1000.78,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,288.15,0.2329,101,1000.25,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,298.15,0.0354,101,997.296,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,298.15,0.0466,101,997.434,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,298.15,0.0575,101,997.614,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,298.15,0.0702,101,997.784,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,298.15,0.0932,101,998.103,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,298.15,0.1164,101,998.419,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,298.15,0.1401,101,998.698,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,298.15,0.1635,101,998.836,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,298.15,0.1862,101,998.743,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,298.15,0.2082,101,998.556,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,298.15,0.2329,101,998.134,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,308.15,0.0354,101,994.233,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,308.15,0.0466,101,994.36,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,308.15,0.0575,101,994.516,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,308.15,0.0702,101,994.679,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,308.15,0.0932,101,994.956,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,308.15,0.1164,101,995.243,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,308.15,0.1401,101,995.547,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,308.15,0.1635,101,995.675,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,308.15,0.1862,101,995.587,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,308.15,0.2082,101,995.17,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
ONdLk,308.15,0.2329,101,994.487,Pal and Chaudhary (2013),Density,Liquid,AADYJk,O,water,AAkOQZ,CCCC[n+]1ccn(C)c1C.[Cl-],"1-butyl-2,3-dimethylimidazolium chloride",,,
