setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OPQPv,293.15,0,101,1100.22,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
OPQPv,293.15,0.00402,101,1100.27,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
OPQPv,293.15,0.00649,101,1100.3,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
OPQPv,293.15,0.00933,101,1100.34,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
OPQPv,293.15,0.01163,101,1100.38,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
OPQPv,293.15,0.0141,101,1100.41,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
OPQPv,293.15,0.0167,101,1100.45,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
OPQPv,293.15,0.01877,101,1100.49,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
OPQPv,293.15,0.02117,101,1100.53,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
OPQPv,293.15,0.02341,101,1100.56,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
OPQPv,293.15,0.02766,101,1100.63,Wang et al. (2012c),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide,,,
