setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OceoN,293.17,5000,1607,Stevanovic and Costa Gomes (2013),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
OceoN,293.17,10000,1610,Stevanovic and Costa Gomes (2013),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
OceoN,293.17,15000,1614,Stevanovic and Costa Gomes (2013),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
OceoN,293.17,20000,1618,Stevanovic and Costa Gomes (2013),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
OceoN,293.17,25000,1622,Stevanovic and Costa Gomes (2013),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
OceoN,293.17,25000,1622,Stevanovic and Costa Gomes (2013),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
OceoN,293.18,2500,1605,Stevanovic and Costa Gomes (2013),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
OceoN,293.19,100,1604,Stevanovic and Costa Gomes (2013),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
OceoN,293.19,500,1604,Stevanovic and Costa Gomes (2013),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
OceoN,293.19,1000,1604,Stevanovic and Costa Gomes (2013),Density,Liquid,ACIwcZ,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,,,,,,
