setid,"Temperature, K",Mole fraction of 1-butyl-3-methylpyridinium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PMzPw,293.15,0.0481,101,876.902,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,293.15,0.1001,101,940.659,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,293.15,0.1548,101,988.767,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,293.15,0.2003,101,1019.3,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,293.15,0.2487,101,1045.53,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,293.15,0.297,101,1066.65,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,293.15,0.4013,101,1101.04,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,293.15,0.4969,101,1123.82,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,293.15,0.5974,101,1142.04,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,293.15,0.6972,101,1156.18,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,293.15,0.8437,101,1172.39,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,293.15,0.8984,101,1177.43,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,293.15,0.9692,101,1183.29,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.0481,101,868.149,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.1001,101,932.121,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.1548,101,980.512,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.2003,101,1011.19,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.2487,101,1037.61,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.297,101,1058.61,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.4013,101,1093.31,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.4969,101,1116.42,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.5974,101,1134.73,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.6972,101,1149.17,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.8437,101,1165.51,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.8984,101,1170.57,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,303.15,0.9692,101,1176.48,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.0481,101,858.994,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.1001,101,923.594,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.1548,101,972.213,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.2003,101,1003.35,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.2487,101,1029.56,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.297,101,1050.84,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.4013,101,1085.48,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.4969,101,1108.81,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.5974,101,1127.47,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.6972,101,1142.08,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.8437,101,1158.69,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.8984,101,1163.79,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,313.15,0.9692,101,1169.74,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.0481,101,850.146,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.1001,101,915.022,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.1548,101,964.125,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.2003,101,995.225,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.2487,101,1021.63,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.297,101,1042.82,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.4013,101,1077.9,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.4969,101,1101.29,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.5974,101,1120.24,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.6972,101,1135,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.8437,101,1151.77,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.8984,101,1156.96,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
PMzPw,323.15,0.9692,101,1162.98,Garcia-Mardones et al. (2012a),Density,Liquid,AAGIBL,CO,methanol,AAtejH,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,1-butyl-3-methylpyridinium tetrafluoroborate,,,
