setid,"Temperature, K",Weight fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PhEPz,293.15,0.0004,101,1270.6,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,293.15,0.0026,101,1269.6,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,293.15,0.0048,101,1268.6,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,293.15,0.0065,101,1268,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,293.15,0.008,101,1267.5,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,293.15,0.0091,101,1267.1,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,298.15,0.0004,101,1267.9,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,298.15,0.0026,101,1266.7,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,298.15,0.0048,101,1265.7,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,298.15,0.0065,101,1265,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,298.15,0.008,101,1264.5,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,298.15,0.0091,101,1264.1,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,303.15,0.0004,101,1264.9,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,303.15,0.0026,101,1263.8,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,303.15,0.0048,101,1262.7,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,303.15,0.0065,101,1261.8,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,303.15,0.008,101,1261.4,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,303.15,0.0091,101,1261,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,308.15,0.0004,101,1261.9,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,308.15,0.0026,101,1260.8,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,308.15,0.0048,101,1259.7,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,308.15,0.0065,101,1258.9,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,308.15,0.008,101,1258.4,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,308.15,0.0091,101,1258,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,313.15,0.0004,101,1258.9,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,313.15,0.0026,101,1257.8,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,313.15,0.0048,101,1256.8,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,313.15,0.0065,101,1255.9,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,313.15,0.008,101,1255.5,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,313.15,0.0091,101,1255,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,318.15,0.0004,101,1255.9,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,318.15,0.0026,101,1254.8,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,318.15,0.0048,101,1254,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,318.15,0.0065,101,1253,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,318.15,0.008,101,1252.4,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,318.15,0.0091,101,1252,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,323.15,0.0004,101,1252.9,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,323.15,0.0026,101,1251.8,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,323.15,0.0048,101,1250.9,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,323.15,0.0065,101,1250,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,323.15,0.008,101,1249.7,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
PhEPz,323.15,0.0091,101,1249,Yan et al. (2021a),Density,Liquid,AAoMBG,CC(=O)[O-].CCCCC[n+]1ccccc1,1-pentylpyridinium acetate,AADYJk,O,water,,,
