setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PuwOg,298.15,101.325,996,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,303.15,101.325,993,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,308.15,101.325,989,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,313.15,101.325,986,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,318.15,101.325,982,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,323.15,101.325,979,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,328.15,101.325,975,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,333.15,101.325,972,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,338.15,101.325,968,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,343.15,101.325,965,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,348.15,101.325,961,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,353.15,101.325,958,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,358.15,101.325,954,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,363.15,101.325,950,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
PuwOg,368.15,101.325,947,Krolikowska and Orawiec (2016),Density,Liquid,ABVwPg,CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,tributylethylphosphonium diethylphosphate,,,,,,
