setid,"Temperature, K","MolaLity of benzyldimethylammonium propionate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QhBxq,293.15,0,101,948.922,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,293.15,0.08651,101,949.539,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,293.15,0.13636,101,949.863,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,293.15,0.21627,101,950.179,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,293.15,0.27078,101,950.661,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,293.15,0.34991,101,951.114,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,293.15,0.41893,101,951.843,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,293.15,0.50056,101,952.363,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,293.15,0.57123,101,952.761,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,298.15,0,101,944.163,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,298.15,0.08651,101,944.781,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,298.15,0.13636,101,945.105,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,298.15,0.21627,101,945.415,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,298.15,0.27078,101,945.895,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,298.15,0.34991,101,946.339,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,298.15,0.41893,101,947.06,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,298.15,0.50056,101,947.569,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,298.15,0.57123,101,947.957,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,303.15,0,101,939.39,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,303.15,0.08651,101,940.016,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,303.15,0.13636,101,940.338,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,303.15,0.21627,101,940.647,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,303.15,0.27078,101,941.123,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,303.15,0.34991,101,941.56,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,303.15,0.41893,101,942.271,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,303.15,0.50056,101,942.771,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,303.15,0.57123,101,943.148,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,308.15,0,101,934.606,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,308.15,0.08651,101,935.237,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,308.15,0.13636,101,935.558,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,308.15,0.21627,101,935.867,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,308.15,0.27078,101,936.338,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
QhBxq,308.15,0.34991,101,936.769,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAoMxN,CCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium propionate,,,
