setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QosXR,298.15,101.325,1273.4,Zoubeik and Henni (2014),Density,Liquid,AByfBm,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",,,,,,
QosXR,303.15,101.325,1269,Zoubeik and Henni (2014),Density,Liquid,AByfBm,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",,,,,,
QosXR,308.15,101.325,1264.7,Zoubeik and Henni (2014),Density,Liquid,AByfBm,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",,,,,,
QosXR,313.15,101.325,1260.4,Zoubeik and Henni (2014),Density,Liquid,AByfBm,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",,,,,,
QosXR,318.15,101.325,1256,Zoubeik and Henni (2014),Density,Liquid,AByfBm,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",,,,,,
QosXR,323.15,101.325,1251.7,Zoubeik and Henni (2014),Density,Liquid,AByfBm,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",,,,,,
QosXR,328.15,101.325,1247.4,Zoubeik and Henni (2014),Density,Liquid,AByfBm,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",,,,,,
QosXR,333.15,101.325,1243.2,Zoubeik and Henni (2014),Density,Liquid,AByfBm,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",,,,,,
QosXR,338.15,101.325,1238.9,Zoubeik and Henni (2014),Density,Liquid,AByfBm,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",,,,,,
QosXR,343.15,101.325,1234.6,Zoubeik and Henni (2014),Density,Liquid,AByfBm,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",,,,,,
QosXR,348.15,101.325,1230.4,Zoubeik and Henni (2014),Density,Liquid,AByfBm,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",,,,,,
QosXR,353.15,101.325,1226.2,Zoubeik and Henni (2014),Density,Liquid,AByfBm,CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",,,,,,
