setid,"Temperature, K","Pressure, kPa",Solvent: Mole fraction of benzyl(2-hydroxyethyl)dimethylammonium chloride,Weight fraction of water,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RZoPR,293.15,101,0.5,0.1133,1246,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
RZoPR,298.15,101,0.5,0.1133,1243,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
RZoPR,303.15,101,0.5,0.1133,1240,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
RZoPR,308.15,101,0.5,0.1133,1237,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
RZoPR,313.15,101,0.5,0.1133,1234,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
RZoPR,318.15,101,0.5,0.1133,1231,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
RZoPR,323.15,101,0.5,0.1133,1228,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
RZoPR,328.15,101,0.5,0.1133,1224,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
RZoPR,333.15,101,0.5,0.1133,1221,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
RZoPR,338.15,101,0.5,0.1133,1218,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
RZoPR,343.15,101,0.5,0.1133,1215,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
RZoPR,348.15,101,0.5,0.1133,1212,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
RZoPR,353.15,101,0.5,0.1133,1209,Florindo et al. (2017),Density,Liquid,AActIj,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,D-ribose,AApZeG,C[N+](C)(CCO)Cc1ccccc1.[Cl-],benzyl(2-hydroxyethyl)dimethylammonium chloride,AADYJk,O,water
