setid,Solvent: Mole fraction of aluminum chloride,Weight fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SAQaV,0.33,0,101.3,298.15,1241,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.05,101.3,298.15,1228,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.1,101.3,298.15,1214,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.15,101.3,298.15,1201,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.2,101.3,298.15,1188,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.25,101.3,298.15,1175,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.3,101.3,298.15,1162,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.35,101.3,298.15,1150,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.4,101.3,298.15,1137,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.45,101.3,298.15,1125,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.5,101.3,298.15,1112,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.55,101.3,298.15,1100,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.6,101.3,298.15,1088,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.65,101.3,298.15,1076,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.7,101.3,298.15,1064,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.75,101.3,298.15,1053,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.8,101.3,298.15,1041,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.85,101.3,298.15,1030,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.9,101.3,298.15,1018,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
SAQaV,0.33,0.95,101.3,298.15,1007,Vila et al. (2006b),Density,Liquid,AAZhtG,Cl[Al](Cl)Cl,aluminum chloride,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride
