setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SSdyj,293.15,101.325,1413.7,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,298.15,101.325,1409.1,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,303.15,101.325,1404.5,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,308.15,101.325,1400,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,313.15,101.325,1395.4,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,318.15,101.325,1390.9,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,323.15,101.325,1386.4,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,328.15,101.325,1381.9,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,333.15,101.325,1377.4,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,338.15,101.325,1373,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,343.15,101.325,1368.5,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,348.15,101.325,1364.1,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,353.15,101.325,1359.7,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,358.15,101.325,1355.4,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
SSdyj,363.15,101.325,1351,Rocha et al. (2016b),Density,Liquid,ABhYJM,CCCCc1cccc[n+]1CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-butyl-1-ethylpyridin-1-ium bis((trifluoromethyl)sulfonyl)imide,,,,,,
