setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SXSif,293.15,0.0346,100,1048,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,293.15,0.0702,100,1126.6,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,293.15,0.1019,100,1183.8,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,293.15,0.2005,100,1312.4,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,293.15,0.3013,100,1398.64,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,293.15,0.4019,100,1459.7,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,293.15,0.4936,100,1501.92,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,293.15,0.6054,100,1541.77,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,293.15,0.7017,100,1569.08,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,293.15,0.7892,100,1589.79,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,293.15,0.8837,100,1609.26,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,293.15,0.9417,100,1620.24,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,298.15,0.0346,100,1043.5,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,298.15,0.0702,100,1121.8,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,298.15,0.1019,100,1178.7,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,298.15,0.2005,100,1307,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,298.15,0.3013,100,1393.22,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,298.15,0.4019,100,1454.14,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,298.15,0.4936,100,1496.21,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,298.15,0.6054,100,1535.92,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,298.15,0.7017,100,1563.25,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,298.15,0.7892,100,1584.01,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,298.15,0.8837,100,1603.53,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,298.15,0.9417,100,1614.53,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,303.15,0.0346,100,1039.1,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,303.15,0.0702,100,1117,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,303.15,0.1019,100,1173.8,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,303.15,0.2005,100,1301.7,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,303.15,0.3013,100,1387.64,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,303.15,0.4019,100,1448.47,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
SXSif,303.15,0.4936,100,1490.49,Vranes et al. (2014c),Density,Liquid,AAOCUX,CCNC=O,N-ethylformamide,ACISwI,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-butyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,
