setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
StYpG,303.08,101.325,1410.96,Souckova et al. (2014),Density,Liquid,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
StYpG,313.18,101.325,1402.37,Souckova et al. (2014),Density,Liquid,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
StYpG,318.04,101.325,1398.33,Souckova et al. (2014),Density,Liquid,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
StYpG,323.07,101.325,1393.53,Souckova et al. (2014),Density,Liquid,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
StYpG,328.22,101.325,1389.63,Souckova et al. (2014),Density,Liquid,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
StYpG,333.39,101.325,1385.32,Souckova et al. (2014),Density,Liquid,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
StYpG,338.41,101.325,1381.11,Souckova et al. (2014),Density,Liquid,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
StYpG,343.27,101.325,1377.03,Souckova et al. (2014),Density,Liquid,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
StYpG,348.16,101.325,1372.97,Souckova et al. (2014),Density,Liquid,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
StYpG,352.56,101.325,1369.14,Souckova et al. (2014),Density,Liquid,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
StYpG,358.11,101.325,1364.85,Souckova et al. (2014),Density,Liquid,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
StYpG,364.89,101.325,1359.36,Souckova et al. (2014),Density,Liquid,AAzxzH,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-methyl-3-propylimidazolium hexafluorophosphate,,,,,,
