setid,"Temperature, K",Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TUJRy,293.15,0,100,1211.2,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,293.15,0.2013,100,1205.3,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,293.15,0.2622,100,1204,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,293.15,0.4068,100,1196.1,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,293.15,0.4845,100,1194.6,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,293.15,0.6815,100,1175.3,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,293.15,0.7816,100,1156,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,293.15,0.8484,100,1133.4,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,293.15,0.925,100,1089.9,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,293.15,0.9708,100,1043,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,293.15,1,100,998.4,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,303.15,0,100,1205.7,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,303.15,0.2013,100,1199.7,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,303.15,0.2622,100,1198.5,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,303.15,0.4068,100,1190.7,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,303.15,0.4845,100,1189.4,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,303.15,0.6815,100,1169.9,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,303.15,0.7816,100,1150.8,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,303.15,0.8484,100,1128.5,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,303.15,0.925,100,1085.5,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,303.15,0.9708,100,1039.3,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,303.15,1,100,995.8,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,313.15,0,100,1200.2,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,313.15,0.2013,100,1194.4,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,313.15,0.2622,100,1193.2,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,313.15,0.4068,100,1185.2,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,313.15,0.4845,100,1183.7,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,313.15,0.6815,100,1164.6,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,313.15,0.7816,100,1145.4,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,313.15,0.8484,100,1123.4,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,313.15,0.925,100,1080.8,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,313.15,0.9708,100,1035.2,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,313.15,1,100,992.3,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,323.15,0,100,1194.7,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,323.15,0.2013,100,1189,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,323.15,0.2622,100,1187.7,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,323.15,0.4068,100,1179.9,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,323.15,0.4845,100,1178.4,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,323.15,0.6815,100,1159.4,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,323.15,0.7816,100,1139.9,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,323.15,0.8484,100,1118.2,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,323.15,0.925,100,1075.4,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,323.15,0.9708,100,1030.6,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,323.15,1,100,988.2,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,333.15,0,100,1189.3,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,333.15,0.2013,100,1183.6,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,333.15,0.2622,100,1182.3,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,333.15,0.4068,100,1174.1,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,333.15,0.4845,100,1172.9,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,333.15,0.6815,100,1153.7,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,333.15,0.7816,100,1134.4,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,333.15,0.8484,100,1112.6,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,333.15,0.925,100,1070.2,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,333.15,0.9708,100,1025.6,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,333.15,1,100,983.3,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,343.15,0,100,1183.7,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,343.15,0.2013,100,1178.2,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,343.15,0.2622,100,1176.7,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,343.15,0.4068,100,1168.7,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,343.15,0.4845,100,1167.2,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,343.15,0.6815,100,1147.7,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,343.15,0.7816,100,1128.8,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,343.15,0.8484,100,1106.9,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,343.15,0.925,100,1064.7,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,343.15,0.9708,100,1020.1,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
TUJRy,343.15,1,100,973,Pinheiro et al. (2018),Density,Liquid,AAdDov,O=C[O-].OCC[NH2+]CCO,diethanolammonium formate,AADYJk,O,water,,,
