setid,"Temperature, K","MolaLity of dodecyl(2-hydroxyethyl)dimethylammonium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TZKPl,293.15,0.00798,100,998.5,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.009,100,998.537,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.01003,100,998.574,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.01099,100,998.61,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.01195,100,998.646,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.013,100,998.684,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.01395,100,998.716,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.01498,100,998.747,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.01595,100,998.774,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.01793,100,998.831,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.01991,100,998.886,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.02489,100,999.025,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.02994,100,999.159,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
TZKPl,293.15,0.03493,100,999.299,Zhang et al. (2013d),Density,Liquid,ABNDKb,CCCCCCCCCCCC[N+](C)(C)CCO.[Br-],dodecyl(2-hydroxyethyl)dimethylammonium bromide,AADYJk,O,water,,,
