setid,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TiZty,308.15,0,101,1494.1,Yang et al. (2005a),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABKCfX,CC[n+]1ccn(C)c1.Cl[Ga-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium tetrachlorogallate,,,
TiZty,308.15,0.1265,101,1485.2,Yang et al. (2005a),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABKCfX,CC[n+]1ccn(C)c1.Cl[Ga-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium tetrachlorogallate,,,
TiZty,308.15,0.2582,101,1476.3,Yang et al. (2005a),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABKCfX,CC[n+]1ccn(C)c1.Cl[Ga-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium tetrachlorogallate,,,
TiZty,308.15,0.3956,101,1467.5,Yang et al. (2005a),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABKCfX,CC[n+]1ccn(C)c1.Cl[Ga-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium tetrachlorogallate,,,
TiZty,308.15,0.5389,101,1458.6,Yang et al. (2005a),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABKCfX,CC[n+]1ccn(C)c1.Cl[Ga-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium tetrachlorogallate,,,
TiZty,308.15,0.6886,101,1449.7,Yang et al. (2005a),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABKCfX,CC[n+]1ccn(C)c1.Cl[Ga-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium tetrachlorogallate,,,
TiZty,313.15,0,101,1489.9,Yang et al. (2005a),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABKCfX,CC[n+]1ccn(C)c1.Cl[Ga-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium tetrachlorogallate,,,
TiZty,313.15,0.1265,101,1481,Yang et al. (2005a),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABKCfX,CC[n+]1ccn(C)c1.Cl[Ga-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium tetrachlorogallate,,,
TiZty,313.15,0.2582,101,1472.2,Yang et al. (2005a),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABKCfX,CC[n+]1ccn(C)c1.Cl[Ga-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium tetrachlorogallate,,,
TiZty,313.15,0.3956,101,1463.4,Yang et al. (2005a),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABKCfX,CC[n+]1ccn(C)c1.Cl[Ga-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium tetrachlorogallate,,,
TiZty,313.15,0.5389,101,1454.6,Yang et al. (2005a),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABKCfX,CC[n+]1ccn(C)c1.Cl[Ga-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium tetrachlorogallate,,,
TiZty,313.15,0.6886,101,1445.8,Yang et al. (2005a),Density,Liquid,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,ABKCfX,CC[n+]1ccn(C)c1.Cl[Ga-](Cl)(Cl)Cl,1-ethyl-3-methylimidazolium tetrachlorogallate,,,
